season,team_1,team_1_score,team_2,team_2_score,player_of_match,toss_winner,toss_decision,winner,venue,city,date,win_by_wickets,win_by_runs,result,umpire_1,umpire_2
2018/19,Comilla Victorians,199/3,Dhaka Dynamites,182/9,Tamim Iqbal,Dhaka Dynamites,field first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur, Feb 8 2019,0,17,17 runs,Alex Wharf,Ranmore Martinesz
2018/19,Khulna Titans,117/9,Rajshahi Kings,118/3,Isuru Udana,Khulna Titans,bat first,Kings,"Shere Bangla National Stadium, Mirpur",Mirpur, Jan 9 2019,7,0,7 wickets,Alex Wharf,Nadir Shah
2018/19,Dhaka Dynamites,183/9,Rangpur Riders,181/9,Al Islam,Rangpur Riders,field first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 11 2019,0,2,2 runs,Masudur Rahman,Ranmore Martinesz
2018/19,Dhaka Dynamites,189/5,Rajshahi Kings,106,Hazratullah Zazai,Rajshahi Kings,field first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur, Jan 5 2019,0,83,83 runs,Masudur Rahman,Ranmore Martinesz
2018/19,Rangpur Riders,98,Chittagong Vikings,101/7,Robbie Frylinck,Chittagong Vikings,field first,Vikings,"Shere Bangla National Stadium, Mirpur",Mirpur, Jan 5 2019,3,0,3 wickets,Alex Wharf,Sharfuddoula
2018/19,Comilla Victorians,63,Rangpur Riders,67/1,Mashrafe Mortaza,Rangpur Riders,field first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur, Jan 8 2019,9,0,9 wickets,Mahfuzur Rahman,Ranmore Martinesz
2018/19,Rangpur Riders,169/3,Khulna Titans,161/5,Rilee Rossouw,Khulna Titans,field first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur, Jan 6 2019,0,8,8 runs,Alex Wharf,Sharfuddoula
2018/19,Dhaka Dynamites,192/6,Khulna Titans,87,Hazratullah Zazai,Khulna Titans,field first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur, Jan 8 2019,0,105,105 runs,Alex Wharf,Nadir Shah
2018/19,Sylhet Sixers,168/5,Chittagong Vikings,163/7,Nicholas Pooran,Sylhet Sixers,bat first,Sixers,"Shere Bangla National Stadium, Mirpur",Mirpur, Jan 9 2019,0,5,5 runs,Mahfuzur Rahman,Ranmore Martinesz
2018/19,Khulna Titans,151/6,Chittagong Vikings,151/8,Robbie Frylinck,Chittagong Vikings,field first,Match,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 12 2019,0,0,won the,Morshed Ali Khan,Ranmore Martinesz
2018/19,Sylhet Sixers,127/8,Comilla Victorians,130/6,Shahid Afridi,Comilla Victorians,field first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur, Jan 6 2019,4,0,4 wickets,Masudur Rahman,Ranmore Martinesz
2018/19,Dhaka Dynamites,173/7,Sylhet Sixers,141/9,Rony Talukdar,Dhaka Dynamites,bat first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 12 2019,0,32,32 runs,Alex Wharf,Mahfuzur Rahman
2018/19,Rajshahi Kings,135/8,Rangpur Riders,130/6,Zakir Hasan,Rangpur Riders,field first,Kings,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 13 2019,0,5,5 runs,Ranmore Martinesz,Sharfuddoula
2018/19,Comilla Victorians,184/5,Chittagong Vikings,186/6,Mushfiqur Rahim,Chittagong Vikings,field first,Vikings,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 13 2019,4,0,4 wickets,Alex Wharf,Nadir Shah
2018/19,Rajshahi Kings,124,Comilla Victorians,130/5,Shahid Afridi,Comilla Victorians,field first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 11 2019,5,0,5 wickets,Alex Wharf,Morshed Ali Khan
2018/19,Khulna Titans,128/9,Rajshahi Kings,103,Taijul Islam,Khulna Titans,bat first,Titans,Sylhet International Cricket Stadium,Stadium,Jan 15 2019,0,25,25 runs,Alex Wharf,Tanvir Ahmed
2018/19,Sylhet Sixers,68,Comilla Victorians,69/2,Mahedi Hasan,Comilla Victorians,field first,Victorians,Sylhet International Cricket Stadium,Stadium,Jan 15 2019,8,0,8 wickets,Masudur Rahman,Ranmore Martinesz
2018/19,Rajshahi Kings,136/6,Dhaka Dynamites,116/9,Arafat Sunny,Rajshahi Kings,bat first,Kings,Sylhet International Cricket Stadium,Stadium,Jan 16 2019,0,20,20 runs,Alex Wharf,Mahfuzur Rahman
2018/19,Khulna Titans,181/7,Comilla Victorians,186/7,Tamim Iqbal,Comilla Victorians,field first,Victorians,Sylhet International Cricket Stadium,Stadium,Jan 18 2019,3,0,3 wickets,Alex Wharf,Gazi Sohel
2018/19,Sylhet Sixers,194/4,Rangpur Riders,195/6,Rilee Rossouw,Rangpur Riders,field first,Riders,Sylhet International Cricket Stadium,Stadium,Jan 19 2019,4,0,4 wickets,Alex Wharf,Gazi Sohel
2018/19,Sylhet Sixers,158/8,Dhaka Dynamites,163/4,Shakib Al Hasan,Sylhet Sixers,bat first,Dynamites,Sylhet International Cricket Stadium,Stadium,Jan 18 2019,6,0,6 wickets,Masudur Rahman,Ranmore Martinesz
2018/19,Sylhet Sixers,187/5,Rangpur Riders,160/6,Litton Das,Rangpur Riders,field first,Sixers,Sylhet International Cricket Stadium,Stadium,Jan 16 2019,0,27,27 runs,Masudur Rahman,Ranmore Martinesz
2018/19,Chittagong Vikings,214/4,Khulna Titans,188/8,Mushfiqur Rahim,Khulna Titans,field first,Vikings,Sylhet International Cricket Stadium,Stadium,Jan 19 2019,0,26,26 runs,Ranmore Martinesz,Tanvir Ahmed
2018/19,Rajshahi Kings,176/3,Comilla Victorians,138,Laurie Evans,Comilla Victorians,field first,Kings,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 21 2019,0,38,38 runs,Sharfuddoula,Shozab Raza
2018/19,Dhaka Dynamites,139/9,Chittagong Vikings,145/7,Robbie Frylinck,Dhaka Dynamites,bat first,Vikings,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 21 2019,3,0,3 wickets,Nadir Shah,Ranmore Martinesz
2018/19,Rajshahi Kings,157/5,Chittagong Vikings,159/4,Mushfiqur Rahim,Chittagong Vikings,field first,Vikings,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 23 2019,6,0,6 wickets,Nadir Shah,Ranmore Martinesz
2018/19,Khulna Titans,170/9,Sylhet Sixers,149/7,David Wiese,Sylhet Sixers,field first,Titans,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 23 2019,0,21,21 runs,Alex Wharf,Morshed Ali Khan
2018/19,Sylhet Sixers,180/6,Rajshahi Kings,104,Sohail Tanvir,Rajshahi Kings,field first,Sixers,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Jan 25 2019,0,76,76 runs,Morshed Ali Khan,Shozab Raza
2018/19,Comilla Victorians,153/8,Dhaka Dynamites,146/9,Thisara Perera,Dhaka Dynamites,field first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 22 2019,0,7,7 runs,Mahfuzur Rahman,Ranmore Martinesz
2018/19,Rangpur Riders,239/4,Chittagong Vikings,167/8,Alex Hales,Chittagong Vikings,field first,Riders,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Jan 25 2019,0,72,72 runs,Alex Wharf,Sharfuddoula
2018/19,Khulna Titans,181/6,Rangpur Riders,183/4,Farhad Reza,Rangpur Riders,field first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 22 2019,6,0,6 wickets,Sharfuddoula,Shozab Raza
2018/19,Sylhet Sixers,195/4,Khulna Titans,137,Mohammad Nawaz,Sylhet Sixers,bat first,Sixers,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Jan 26 2019,0,58,58 runs,Alex Wharf,Gazi Sohel
2018/19,Rajshahi Kings,198/5,Chittagong Vikings,191/8,Mustafizur Rahman,Chittagong Vikings,field first,Kings,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Jan 26 2019,0,7,7 runs,Sharfuddoula,Shozab Raza
2018/19,Dhaka Dynamites,186/6,Rangpur Riders,189/2,AB de Villiers,Dhaka Dynamites,bat first,Riders,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Jan 28 2019,8,0,8 wickets,Masudur Rahman,Ranmore Martinesz
2018/19,Rajshahi Kings,141/8,Rangpur Riders,145/4,Farhad Reza,Rajshahi Kings,bat first,Riders,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Jan 29 2019,6,0,6 wickets,Alex Wharf,Masudur Rahman
2018/19,Chittagong Vikings,174/5,Dhaka Dynamites,163/9,Cameron Delport,Chittagong Vikings,bat first,Vikings,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Jan 30 2019,0,11,11 runs,Mahfuzur Rahman,Shozab Raza
2018/19,Sylhet Sixers,189/5,Rajshahi Kings,190/5,Laurie Evans,Sylhet Sixers,bat first,Kings,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Jan 30 2019,5,0,5 wickets,Ranmore Martinesz,Tanvir Ahmed
2018/19,Comilla Victorians,237/5,Khulna Titans,157,Evin Lewis,Khulna Titans,field first,Victorians,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Jan 28 2019,0,80,80 runs,Shozab Raza,Tanvir Ahmed
2018/19,Chittagong Vikings,116/8,Comilla Victorians,117/3,Shahid Afridi,Chittagong Vikings,bat first,Victorians,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Jan 29 2019,7,0,7 wickets,Mahfuzur Rahman,Ranmore Martinesz
2018/19,Comilla Victorians,72,Rangpur Riders,76/1,Ravi Bopara,Comilla Victorians,bat first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur, Feb 2 2019,9,0,9 wickets,Minhajul Abedin Afridi,Sanjit Saha
2018/19,Comilla Victorians,127,Dhaka Dynamites,126/9,Mohammad Saifuddin,Dhaka Dynamites,field first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur, Feb 1 2019,0,0,1 run,Alex Wharf,Masudur Rahman
2018/19,Khulna Titans,123/9,Dhaka Dynamites,124/4,Upul Tharanga,Khulna Titans,bat first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur, Feb 2 2019,6,0,6 wickets,Nadir Shah,Ranmore Martinesz
2018/19,Sylhet Sixers,165/5,Chittagong Vikings,136,Ebadot Hossain,Chittagong Vikings,field first,Sixers,"Shere Bangla National Stadium, Mirpur",Mirpur, Feb 1 2019,0,29,29 runs,Nadir Shah,Shozab Raza
2018/19,Chittagong Vikings,135/8,Dhaka Dynamites,136/4,Sunil Narine,Chittagong Vikings,bat first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur, Feb 4 2019,6,0,6 wickets,Mahfuzur Rahman,Ranmore Martinesz
2018/19,Rangpur Riders,165/5,Comilla Victorians,166/2,Evin Lewis,Rangpur Riders,bat first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur, Feb 4 2019,8,0,8 wickets,Alex Wharf,Sharfuddoula
2018/19,Rangpur Riders,142,Dhaka Dynamites,147/5,Rubel Hossain,Dhaka Dynamites,field first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur, Feb 6 2019,5,0,5 wickets,Alex Wharf,Masudur Rahman
