id,season,match_no,date,player_name,comment,R,B,M,fours,sixs,SR
16,2011/12,17th,Feb 19 2012,Anamul Haque, b Jayasuriya,15,15,8,1,1,100.00
28,2011/12,5th,Feb 12 2012,Jason Roy,c †Saghir Hossain b Abdur Razzak,36,29,34,2,2,124.13
15,2011/12,18th,Feb 19 2012,Alok Kapali,c & b Sohrawordi Shuvo,1,2,7,0,0,50.00
27,2011/12,6th,Feb 12 2012,Brad Hogg,not out ,18,25,35,0,0,72.00
14,2011/12,19th,Feb 20 2012,Mohammad Mithun,c Samuels b Monir Hossain,21,12,-,0,2,175.00
20,2011/12,13th,Feb 16 2012,Shahriar Nafees,c Roy b Cooper,4,9,-,0,0,44.44
24,2011/12,9th,Feb 14 2012,Mohammad Sami,c Naeem Islam b Trego,0,1,6,0,0,0.00
21,2011/12,12th,Feb 15 2012,Andre Russell, b Mohammad Sami,4,4,-,1,0,100.00
19,2011/12,14th,Feb 16 2012,Sabbir Rahman,run out (†Anamul Haque),15,10,-,1,0,150.00
17,2011/12,16th,Feb 18 2012,Sabbir Rahman,c Bravo b Cooper,17,12,-,1,1,141.66
26,2011/12,7th,Feb 13 2012,Sohrawordi Shuvo,c Abdur Razzak b Russell,8,11,14,0,0,72.72
18,2011/12,15th,Feb 18 2012,Nazmul Hossain Milon,not out ,22,14,-,0,2,157.14
23,2011/12,10th,Feb 14 2012,Aftab Ahmed,not out ,5,3,7,1,0,166.66
22,2011/12,11th,Feb 15 2012,Nasir Jamshed,c Abul Hasan b Trego,11,11,-,1,0,100.00
30,2011/12,3rd,Feb 11 2012,Nazimuddin,c Smith b Nasir Hossain,21,25,40,4,0,84.00
25,2011/12,8th,Feb 13 2012,Anamul Haque,c Ziaur Rahman b Enamul Haque jnr,3,8,16,0,0,37.50
31,2011/12,2nd,Feb 10 2012,Marlon Samuels,c Mahmudullah b Bravo,6,3,2,0,1,200.00
29,2011/12,4th,Feb 11 2012,Fawad Alam,c Ahmed Shehzad b Harwood,8,6,8,1,0,133.33
16,2011/12,17th,Feb 19 2012,Naved-ul-Hasan, b Shakib Al Hasan,3,3,3,0,0,100.00
28,2011/12,5th,Feb 12 2012,Mahmudullah,c Smith b Abdur Razzak,4,3,3,1,0,133.33
15,2011/12,18th,Feb 19 2012,Raza Ali Dar,c Mohammad Mithun b Farhad Hossain,8,19,20,0,0,42.10
