id,season,match_no,date,player_name,comment,R,B,M,fours,sixs,SR
11,2011/12,22nd,Feb 22 2012,Nasir Hossain,c Hodge b Al-Amin Hossain,31,19,-,4,1,163.15
5,2011/12,28th,Feb 26 2012,Brendan Taylor,c Hodge b Nazmul Islam,25,36,45,2,0,69.44
4,2011/12,29th,Feb 27 2012,Azhar Mahmood,lbw b Mohammad Sami,2,9,-,0,0,22.22
9,2011/12,24th,Feb 24 2012,Khalid Latif,run out (Shuvagata Hom),14,19,34,1,0,73.68
3,2011/12,30th,Feb 27 2012,Dwayne Smith,not out ,103,73,-,6,6,141.09
2,2011/12,1st,Feb 28 2012,Marlon Samuels,lbw b Yasir Arafat,0,1,3,0,0,0.00
1,2011/12,2nd,Feb 28 2012,Nazimuddin,run out (Smith/†Saghir Hossain),1,6,3,0,0,16.66
8,2011/12,25th,Feb 25 2012,Rameez Raja,c Imran Nazir b Naved-ul-Hasan,17,14,19,2,0,121.42
7,2011/12,26th,Feb 25 2012,Jahurul Islam,c Nabil Samad b Sohail Tanvir,3,5,10,0,0,60.00
6,2011/12,27th,Feb 26 2012,Nazmul Hossain Milon, b Taijul Islam,1,3,5,0,0,33.33
13,2011/12,20th,Feb 20 2012,Nasir Hossain,c †Jahurul Islam b Cooper,42,38,-,4,1,110.52
12,2011/12,21st,Feb 22 2012,Naeem Islam,c †Anamul Haque b Naved-ul-Hasan,28,27,-,3,1,103.70
10,2011/12,23rd,Feb 24 2012,Mahmudullah,c Mohammad Ashraful b Elias Sunny,4,8,11,0,0,50.00
11,2011/12,22nd,Feb 22 2012,Andre Russell, b Nazmul Islam,5,6,-,1,0,83.33
5,2011/12,28th,Feb 26 2012,Nasir Jamshed,c Sohrawordi Shuvo b Farhad Hossain,11,10,13,0,1,110.00
4,2011/12,29th,Feb 27 2012,Darren Stevens,c Junaid Siddique b Samuels,28,16,-,6,0,175.00
9,2011/12,24th,Feb 24 2012,Abdul Razzaq,c Noor Hossain b Sohail Tanvir,21,17,22,1,0,123.52
3,2011/12,30th,Feb 27 2012,Shakib Al Hasan,not out ,21,21,-,2,0,100.00
2,2011/12,1st,Feb 28 2012,Sean Ervine,run out (Ali),82,61,82,8,3,134.42
1,2011/12,2nd,Feb 28 2012,Azhar Mahmood,c Gibbs b Hammad Azam,65,39,52,6,3,166.66
8,2011/12,25th,Feb 25 2012,Kabir Ali,c Nazmul Hossain b Naved-ul-Hasan,3,4,7,0,0,75.00
7,2011/12,26th,Feb 25 2012,Jason Roy,run out (Naeem Islam),3,5,6,0,0,60.00
6,2011/12,27th,Feb 26 2012,Andre Adams, b Ervine,4,5,5,1,0,80.00
13,2011/12,20th,Feb 20 2012,Marshall Ayub,not out ,11,16,-,0,0,68.75
12,2011/12,21st,Feb 22 2012,Shuvagata Hom,c Mohammad Ashraful b Naved-ul-Hasan,9,8,-,1,0,112.50
10,2011/12,23rd,Feb 24 2012,Shamsur Rahman,c Naved-ul-Hasan b Elias Sunny,5,6,9,0,0,83.33
11,2011/12,22nd,Feb 22 2012,Niall O'Brien,c †Mustard b Sohrawordi Shuvo,19,19,-,1,0,100.00
5,2011/12,28th,Feb 26 2012,Dwayne Bravo,c Hodge b Yasir Arafat,26,20,28,0,2,130.00
4,2011/12,29th,Feb 27 2012,Kieron Pollard, b Mohammad Sami,11,5,-,1,1,220.00
9,2011/12,24th,Feb 24 2012,Sabbir Rahman, b Sohail Tanvir,6,8,14,0,0,75.00
3,2011/12,30th,Feb 27 2012,Kamran Akmal,st †O'Brien b Abdur Razzak,5,3,-,1,0,166.66
2,2011/12,1st,Feb 28 2012,Mushfiqur Rahim,run out (Yasir Arafat),58,33,53,6,3,175.75
1,2011/12,2nd,Feb 28 2012,Mohammad Ashraful,not out ,47,33,53,4,1,142.42
8,2011/12,25th,Feb 25 2012,Mominul Haque,run out (Naved-ul-Hasan),0,0,1,0,0,-
7,2011/12,26th,Feb 25 2012,Brendan Taylor,run out (Trego),10,8,9,2,0,125.00
6,2011/12,27th,Feb 26 2012,Saghir Hossain, b Mohammad Sami,6,15,12,1,0,40.00
13,2011/12,20th,Feb 20 2012,Andre Russell,not out ,16,7,-,2,0,228.57
12,2011/12,21st,Feb 22 2012,Noor Hossain,not out ,13,8,-,1,1,162.50
10,2011/12,23rd,Feb 24 2012,Ziaur Rahman,run out (Kervezee),1,2,2,0,0,50.00
11,2011/12,22nd,Feb 22 2012,Marshall Ayub,c Hodge b Ahmed Shehzad,1,2,-,0,0,50.00
5,2011/12,28th,Feb 26 2012,Mahmudullah, b Yasir Arafat,3,6,6,0,0,50.00
4,2011/12,29th,Feb 27 2012,Mohammad Ashraful, b Mohammad Sami,23,27,-,3,0,85.18
9,2011/12,24th,Feb 24 2012,Muktar Ali,c & b Abul Hasan,1,2,6,0,0,50.00
3,2011/12,30th,Feb 27 2012,Peter Trego,c Shakib Al Hasan b Abdur Razzak,23,13,-,3,1,176.92
2,2011/12,1st,Feb 28 2012,Abdul Razzaq,not out ,32,19,30,3,2,168.42
1,2011/12,2nd,Feb 28 2012,Shahid Afridi,not out ,27,11,20,0,3,245.45
8,2011/12,25th,Feb 25 2012,Farhad Hossain,not out ,1,1,1,0,0,100.00
7,2011/12,26th,Feb 25 2012,Dwayne Bravo,c Noor Hossain b Trego,0,1,2,0,0,0.00
6,2011/12,27th,Feb 26 2012,Abdur Razzak,c †Mushfiqur Rahim b Mohammad Sami,15,13,18,1,1,115.38
13,2011/12,20th,Feb 20 2012,Nasir Jamshed,c Gibbs b Shakib Al Hasan,9,7,-,0,1,128.57
12,2011/12,21st,Feb 22 2012,Brad Hogg,not out ,5,6,-,0,0,83.33
10,2011/12,23rd,Feb 24 2012,Kevon Cooper,not out ,4,7,13,0,0,57.14
11,2011/12,22nd,Feb 22 2012,Nazmul Hossain Milon,not out ,42,31,-,2,2,135.48
5,2011/12,28th,Feb 26 2012,Jahurul Islam,lbw b Ali,0,1,3,0,0,0.00
4,2011/12,29th,Feb 27 2012,Anamul Haque,lbw b Mohammad Sami,0,1,-,0,0,0.00
9,2011/12,24th,Feb 24 2012,Mohammad Sami, b Sohail Tanvir,9,6,8,2,0,150.00
3,2011/12,30th,Feb 27 2012,Tom Maynard,lbw b Smith,10,12,-,1,0,83.33
2,2011/12,1st,Feb 28 2012,Sabbir Rahman,lbw b Ali,0,1,1,0,0,0.00
1,2011/12,2nd,Feb 28 2012,Shivnarine Chanderpaul,c Awais Zia b Elias Sunny,25,22,33,4,0,113.63
8,2011/12,25th,Feb 25 2012,Imran Nazir,c Mominul Haque b Sohrawordi Shuvo,65,40,59,6,3,162.50
7,2011/12,26th,Feb 25 2012,Mahmudullah,c Maynard b Sohail Tanvir,30,26,62,3,0,115.38
6,2011/12,27th,Feb 26 2012,Shafiul Islam,not out ,4,5,13,0,0,80.00
13,2011/12,20th,Feb 20 2012,Tamim Iqbal, b Smith,5,6,-,1,0,83.33
12,2011/12,21st,Feb 22 2012,Imran Nazir,retired hurt ,31,16,-,2,0,193.75
10,2011/12,23rd,Feb 24 2012,Alexei Kervezee,c Ziaur Rahman b Sunzamul Islam,8,8,4,2,0,100.00
11,2011/12,22nd,Feb 22 2012,Dolar Mahmud,not out ,7,5,-,1,0,140.00
5,2011/12,28th,Feb 26 2012,Farhad Reza,run out (†Mustard),5,4,12,0,0,125.00
4,2011/12,29th,Feb 27 2012,Mehrab Hossain jnr,c Soumya Sarkar b Taijul Islam,10,18,-,0,0,55.55
9,2011/12,24th,Feb 24 2012,Monir Hossain,not out ,3,3,5,0,0,100.00
3,2011/12,30th,Feb 27 2012,Alok Kapali,c Nazmul Hossain Milon b Shahadat Hossain,5,9,-,1,0,55.55
2,2011/12,1st,Feb 28 2012,Mohammad Sami,not out ,6,1,1,0,1,600.00
1,2011/12,2nd,Feb 28 2012,Herschelle Gibbs,c Elias Sunny b Mashrafe Mortaza,2,2,3,0,0,100.00
8,2011/12,25th,Feb 25 2012,Mohammad Ashraful,c Hodge b Ali,0,3,4,0,0,0.00
7,2011/12,26th,Feb 25 2012,Ziaur Rahman,c Shuvagata Hom b Styris,40,28,35,3,3,142.85
6,2011/12,27th,Feb 26 2012,Shahzaib Hasan,st †Saghir Hossain b Shakib Al Hasan,28,12,12,5,1,233.33
13,2011/12,20th,Feb 20 2012,Jason Roy,run out (†O'Brien),30,24,-,2,2,125.00
12,2011/12,21st,Feb 22 2012,Mohammad Ashraful,st †Kamran Akmal b Noor Hossain,40,33,-,6,0,121.21
10,2011/12,23rd,Feb 24 2012,Mohammad Ashraful,c Bravo b Cooper,20,28,51,1,0,71.42
11,2011/12,22nd,Feb 22 2012,Ahmed Shehzad,c Russell b Shakib Al Hasan,10,8,-,1,1,125.00
5,2011/12,28th,Feb 26 2012,Kevon Cooper,c Nazmul Islam b Yasir Arafat,0,2,1,0,0,0.00
4,2011/12,29th,Feb 27 2012,Mashrafe Mortaza, b Samuels,7,3,-,0,1,233.33
9,2011/12,24th,Feb 24 2012,Saqlain Sajib,not out ,4,3,2,0,0,133.33
3,2011/12,30th,Feb 27 2012,Scott Styris,c Nazmul Hossain Milon b Shahadat Hossain,14,9,-,3,0,155.55
2,2011/12,1st,Feb 28 2012,Ahmed Shehzad,not out ,113,49,75,12,6,230.61
1,2011/12,2nd,Feb 28 2012,Mohammad Hafeez,run out (Mashrafe Mortaza/†Dhiman Ghosh),24,18,27,4,0,133.33
8,2011/12,25th,Feb 25 2012,Aftab Ahmed,c Farhad Hossain b Ali,1,6,6,0,0,16.66
7,2011/12,26th,Feb 25 2012,Farhad Reza,c †Kamran Akmal b Sohail Tanvir,5,6,6,0,0,83.33
6,2011/12,27th,Feb 26 2012,Junaid Siddique,not out ,29,32,53,1,0,90.62
13,2011/12,20th,Feb 20 2012,Jahurul Islam,c Nasir Hossain b Abdur Razzak,2,6,-,0,0,33.33
12,2011/12,21st,Feb 22 2012,Azhar Mahmood,st †Kamran Akmal b Nabil Samad,29,15,-,3,2,193.33
10,2011/12,23rd,Feb 24 2012,Azhar Mahmood,c Cooper b Arafat Sunny,12,8,9,1,1,150.00
11,2011/12,22nd,Feb 22 2012,Brad Hodge,c Smith b Abdur Razzak,11,17,-,2,0,64.70
5,2011/12,28th,Feb 26 2012,Arafat Sunny,not out ,2,4,8,0,0,50.00
4,2011/12,29th,Feb 27 2012,Naved-ul-Hasan,not out ,2,2,-,0,0,100.00
9,2011/12,24th,Feb 24 2012,Kamran Akmal,not out ,72,51,68,7,3,141.17
3,2011/12,30th,Feb 27 2012,Shuvagata Hom, b Nasir Hossain,18,14,-,1,1,128.57
2,2011/12,1st,Feb 28 2012,Brad Hodge, b Saqlain Sajib,33,23,35,3,2,143.47
1,2011/12,2nd,Feb 28 2012,Dwayne Smith,c Mohammad Ashraful b Elias Sunny,1,3,3,0,0,33.33
8,2011/12,25th,Feb 25 2012,Azhar Mahmood,c †Mustard b Ahmed Shehzad,42,30,53,7,0,140.00
7,2011/12,26th,Feb 25 2012,Kevon Cooper,not out ,2,4,10,0,0,50.00
6,2011/12,27th,Feb 26 2012,Marlon Samuels,c Adams b Nazmul Hossain Milon,50,38,34,7,2,131.57
13,2011/12,20th,Feb 20 2012,Mahmudullah,c Shakib Al Hasan b Marshall Ayub,12,15,-,1,0,80.00
12,2011/12,21st,Feb 22 2012,Darren Stevens,not out ,5,7,-,0,0,71.42
10,2011/12,23rd,Feb 24 2012,Darren Stevens,c Roy b Enamul Haque jnr,12,14,11,0,1,85.71
11,2011/12,22nd,Feb 22 2012,Phil Mustard,c Gibbs b Abdur Razzak,10,12,-,2,0,83.33
5,2011/12,28th,Feb 26 2012,Enamul Haque jnr,not out ,0,1,1,0,0,0.00
4,2011/12,29th,Feb 27 2012,Elias Sunny, b Mohammad Sami,0,1,-,0,0,0.00
9,2011/12,24th,Feb 24 2012,Peter Trego,c Mohammad Sami b Saqlain Sajib,24,23,28,3,0,104.34
3,2011/12,30th,Feb 27 2012,Naeem Islam,c Gibbs b Shafiul Islam,3,6,-,0,0,50.00
2,2011/12,1st,Feb 28 2012,Phil Mustard,c Samuels b Sabbir Rahman,33,20,34,6,0,165.00
1,2011/12,2nd,Feb 28 2012,Shakib Al Hasan,not out ,86,41,60,9,4,209.75
8,2011/12,25th,Feb 25 2012,Darren Stevens,c Mominul Haque b Sohrawordi Shuvo,3,6,6,0,0,50.00
7,2011/12,26th,Feb 25 2012,Arafat Sunny,not out ,4,8,8,0,0,50.00
6,2011/12,27th,Feb 26 2012,Sean Ervine,not out ,1,3,5,0,0,33.33
13,2011/12,20th,Feb 20 2012,Dwayne Bravo,c & b Abdur Razzak,1,6,-,0,0,16.66
12,2011/12,21st,Feb 22 2012,Kieron Pollard,not out ,22,6,-,0,3,366.66
10,2011/12,23rd,Feb 24 2012,Mehrab Hossain jnr,c Mahmudullah b Cooper,3,6,3,0,0,50.00
11,2011/12,22nd,Feb 22 2012,Mohammad Mithun,c sub b Russell,14,13,-,2,0,107.69
5,2011/12,28th,Feb 26 2012,Ahmed Shehzad,lbw b Enamul Haque jnr,43,30,44,3,2,143.33
4,2011/12,29th,Feb 27 2012,Shahzaib Hasan,lbw b Elias Sunny,15,17,-,1,1,88.23
9,2011/12,24th,Feb 24 2012,Tom Maynard,not out ,22,25,40,1,0,88.00
3,2011/12,30th,Feb 27 2012,Sohail Tanvir,not out ,26,24,-,1,1,108.33
2,2011/12,1st,Feb 28 2012,Nazmul Islam,not out ,5,4,4,1,0,125.00
1,2011/12,2nd,Feb 28 2012,Nasir Hossain,c Mohammad Ashraful b Shahid Afridi,35,28,37,2,1,125.00
8,2011/12,25th,Feb 25 2012,Kieron Pollard,not out ,35,17,19,1,4,205.88
13,2011/12,20th,Feb 20 2012,Ziaur Rahman, b Marshall Ayub,2,10,-,0,0,20.00
10,2011/12,23rd,Feb 24 2012,Kieron Pollard,c Bravo b Enamul Haque jnr,1,6,10,0,0,16.66
11,2011/12,22nd,Feb 22 2012,Mominul Haque,not out ,53,28,-,3,4,189.28
5,2011/12,28th,Feb 26 2012,Brad Hodge,lbw b Mahmudullah,67,36,59,8,3,186.11
4,2011/12,29th,Feb 27 2012,Junaid Siddique, b Mashrafe Mortaza,8,4,-,2,0,200.00
3,2011/12,30th,Feb 27 2012,Noor Hossain, b Shakib Al Hasan,0,2,-,0,0,0.00
1,2011/12,2nd,Feb 28 2012,Hammad Azam,c Azhar Mahmood b Saeed Ajmal,1,3,5,0,0,33.33
8,2011/12,25th,Feb 25 2012,Anamul Haque,not out ,11,8,17,0,1,137.50
13,2011/12,20th,Feb 20 2012,Arafat Sunny,not out ,12,18,-,1,0,66.66
10,2011/12,23rd,Feb 24 2012,Anamul Haque,c Arafat Sunny b Bravo,22,22,27,2,0,100.00
11,2011/12,22nd,Feb 22 2012,Rameez Raja,run out (Marshall Ayub),22,22,-,0,1,100.00
5,2011/12,28th,Feb 26 2012,Phil Mustard,c Cooper b Enamul Haque jnr,24,18,29,2,0,133.33
4,2011/12,29th,Feb 27 2012,Marlon Samuels, b Azhar Mahmood,0,4,-,0,0,0.00
3,2011/12,30th,Feb 27 2012,Abul Hasan, b Nasir Hossain,4,2,-,1,0,200.00
1,2011/12,2nd,Feb 28 2012,Nazmul Hossain Milon,c Mashrafe Mortaza b Elias Sunny,0,1,2,0,0,0.00
13,2011/12,20th,Feb 20 2012,Kevon Cooper,c Nasir Hossain b Marshall Ayub,2,2,-,0,0,100.00
10,2011/12,23rd,Feb 24 2012,Dhiman Ghosh,c Arafat Sunny b Cooper,11,12,23,1,0,91.66
11,2011/12,22nd,Feb 22 2012,Farhad Hossain, b Shakib Al Hasan,12,9,-,0,1,133.33
5,2011/12,28th,Feb 26 2012,Mohammad Mithun,c Mahmudullah b Arafat Sunny,0,1,2,0,0,0.00
4,2011/12,29th,Feb 27 2012,Sean Ervine, b Naved-ul-Hasan,27,27,-,3,0,100.00
3,2011/12,30th,Feb 27 2012,Nabil Samad,c Nazmul Hossain Milon b Shakib Al Hasan,4,3,-,1,0,133.33
1,2011/12,2nd,Feb 28 2012,Abdur Razzak,not out ,2,2,11,0,0,100.00
13,2011/12,20th,Feb 20 2012,Muthiah Muralidaran,c Nasir Hossain b Marshall Ayub,7,5,-,0,1,140.00
10,2011/12,23rd,Feb 24 2012,Naved-ul-Hasan,not out ,9,9,16,0,0,100.00
11,2011/12,22nd,Feb 22 2012,Kabir Ali,not out ,12,8,-,1,0,150.00
5,2011/12,28th,Feb 26 2012,Mominul Haque,c Bravo b Arafat Sunny,1,2,3,0,0,50.00
4,2011/12,29th,Feb 27 2012,Mushfiqur Rahim,not out ,40,37,-,3,0,108.10
13,2011/12,20th,Feb 20 2012,Enamul Haque jnr, b Smith,7,11,-,0,0,63.63
10,2011/12,23rd,Feb 24 2012,Mashrafe Mortaza, b Bravo,1,6,10,0,0,16.66
5,2011/12,28th,Feb 26 2012,Farhad Hossain,not out ,4,5,9,0,0,80.00
4,2011/12,29th,Feb 27 2012,Sabbir Rahman,lbw b Elias Sunny,9,10,-,0,1,90.00
10,2011/12,23rd,Feb 24 2012,Elias Sunny,not out ,1,2,1,0,0,50.00
5,2011/12,28th,Feb 26 2012,Yasir Arafat,not out ,0,0,1,0,0,-
4,2011/12,29th,Feb 27 2012,Rizwan Cheema,c Pollard b Mashrafe Mortaza,2,3,-,0,0,66.66
4,2011/12,29th,Feb 27 2012,Soumya Sarkar,lbw b Naved-ul-Hasan,11,13,-,1,0,84.61
4,2011/12,29th,Feb 27 2012,Mohammad Sami,not out ,3,3,-,0,0,100.00
