season,team_1,team_1_score,team_2,team_2_score,player_of_match,toss_winner,toss_decision,winner,venue,city,date,win_by_wickets,win_by_runs,result,umpire_1,umpire_2
2012/13,Dhaka Gladiators,172/9,Chittagong Kings,129,Mosharraf Hossain,Chittagong Kings,field first,Dhaka,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 19 2013,0,43,43 runs,Enamul Haque,Richard Illingworth
2012/13,Dhaka Gladiators,156/8,Duronto Rajshahi,143/3,Shakib Al Hasan,Dhaka Gladiators,bat first,Dhaka,"Sheikh Abu Naser Stadium, Khulna",Khulna,Jan 22 2013,0,13,13 runs,Gazi Sohel,Masudur Rahman
2012/13,Khulna Royal Bengals,142/8,Barisal Burners,146/2,Brad Hodge,Khulna Royal Bengals,bat first,Barisal,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 20 2013,8,0,8 wickets,Anisur Rahman,Richard Illingworth
2012/13,Sylhet Royals,175/7,Barisal Burners,142/9,Paul Stirling,Barisal Burners,field first,Royals,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 18 2013,0,33,33 runs,Bishawnath Halder,Jubair Ahmed
2012/13,Duronto Rajshahi,99/9,Chittagong Kings,97,Sean Ervine,Duronto Rajshahi,bat first,Rajshahi,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 19 2013,0,2,2 runs,Jeremy Lloyds,Mahfuzur Rahman
2012/13,Dhaka Gladiators,204/4,Khulna Royal Bengals,142/8,Owais Shah,Dhaka Gladiators,bat first,Dhaka,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 18 2013,0,62,62 runs,Masudur Rahman,Richard Illingworth
2012/13,Duronto Rajshahi,147/8,Sylhet Royals,150/6,Elton Chigumbura,Duronto Rajshahi,bat first,Royals,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 20 2013,4,0,4 wickets,Jeremy Lloyds,Tanvir Ahmed
2012/13,Chittagong Kings,132/5,Rangpur Riders,135/4,Nasir Hossain,Chittagong Kings,bat first,Riders,"Sheikh Abu Naser Stadium, Khulna",Khulna,Jan 22 2013,6,0,6 wickets,Anisur Rahman,Richard Illingworth
2012/13,Dhaka Gladiators,202/5,Rangpur Riders,167/4,Mohammad Ashraful,Dhaka Gladiators,bat first,Dhaka,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 19 2013,0,35,35 runs,Amit Kumar,Mehedi Maruf
2012/13,Rangpur Riders,174/4,Barisal Burners,167/8,Shamsur Rahman,Rangpur Riders,bat first,Riders,"Sheikh Abu Naser Stadium, Khulna",Khulna,Jan 23 2013,0,7,7 runs,Mahfuzur Rahman,Richard Illingworth
2012/13,Khulna Royal Bengals,145/7,Sylhet Royals,146/4,Hamilton Masakadza,Khulna Royal Bengals,bat first,Royals,"Sheikh Abu Naser Stadium, Khulna",Khulna,Jan 23 2013,6,0,6 wickets,Anisur Rahman,Mahfuzur Rahman
2012/13,Chittagong Kings,129/7,Barisal Burners,108/9,Ravi Bopara,Barisal Burners,field first,Chittagong,"Sheikh Abu Naser Stadium, Khulna",Khulna,Jan 24 2013,0,21,21 runs,Gazi Sohel,Richard Illingworth
2012/13,Dhaka Gladiators,152/8,Sylhet Royals,157/3,Mushfiqur Rahim,Dhaka Gladiators,bat first,Royals,"Sheikh Abu Naser Stadium, Khulna",Khulna,Jan 25 2013,7,0,7 wickets,Mahfuzur Rahman,Richard Illingworth
2012/13,Chittagong Kings,172/6,Sylhet Royals,176/7,Mohammad Nabi,Sylhet Royals,field first,Royals,"MA Aziz Stadium, Chittagong",Chittagong,Jan 28 2013,3,0,3 wickets,Jeremy Lloyds,Tanvir Ahmed
2012/13,Khulna Royal Bengals,197/0,Duronto Rajshahi,129,Shahriar Nafees,Duronto Rajshahi,field first,Khulna,"Sheikh Abu Naser Stadium, Khulna",Khulna,Jan 24 2013,0,68,68 runs,Anisur Rahman,Tanvir Ahmed
2012/13,Duronto Rajshahi,213/6,Barisal Burners,209/7,Charles Coventry,Duronto Rajshahi,bat first,Rajshahi,"MA Aziz Stadium, Chittagong",Chittagong,Jan 28 2013,0,4,4 runs,Anisur Rahman,Gazi Sohel
2012/13,Khulna Royal Bengals,150/7,Rangpur Riders,141/7,Daniel Harris,Khulna Royal Bengals,bat first,Khulna,"Sheikh Abu Naser Stadium, Khulna",Khulna,Jan 25 2013,0,9,9 runs,Mahfuzur Rahman,Masudur Rahman
2012/13,Dhaka Gladiators,158/5,Sylhet Royals,127/8,Darren Stevens,Sylhet Royals,field first,Dhaka,"MA Aziz Stadium, Chittagong",Chittagong,Jan 29 2013,0,31,31 runs,Jeremy Lloyds,Masudur Rahman
2012/13,Rangpur Riders,122,Khulna Royal Bengals,89,Fidel Edwards,Rangpur Riders,bat first,Riders,"MA Aziz Stadium, Chittagong",Chittagong,Jan 29 2013,0,33,33 runs,Anisur Rahman,Mahfuzur Rahman
2012/13,Rangpur Riders,122,Sylhet Royals,126/5,Nazmul Hossain Milon,Sylhet Royals,field first,Royals,"MA Aziz Stadium, Chittagong",Chittagong,Jan 31 2013,5,0,5 wickets,Jeremy Lloyds,Tanvir Ahmed
2012/13,Dhaka Gladiators,137/5,Duronto Rajshahi,124/9,Alfonso Thomas,Dhaka Gladiators,bat first,Dhaka,"MA Aziz Stadium, Chittagong",Chittagong, Feb 1 2013,0,13,13 runs,Gazi Sohel,Jeremy Lloyds
2012/13,Barisal Burners,182/5,Chittagong Kings,176/6,Azhar Mahmood,Barisal Burners,bat first,Barisal,"MA Aziz Stadium, Chittagong",Chittagong,Jan 31 2013,0,6,6 runs,Anisur Rahman,Tanvir Ahmed
2012/13,Chittagong Kings,142,Dhaka Gladiators,88/8,Naeem Islam,Dhaka Gladiators,field first,Chittagong,"MA Aziz Stadium, Chittagong",Chittagong, Feb 2 2013,0,54,54 runs,Mahfuzur Rahman,Masudur Rahman
2012/13,Barisal Burners,152/6,Duronto Rajshahi,153/6,Jahurul Islam,Barisal Burners,bat first,Rajshahi,"MA Aziz Stadium, Chittagong",Chittagong, Feb 2 2013,4,0,4 wickets,Gazi Sohel,Jeremy Lloyds
2012/13,Khulna Royal Bengals,136/5,Chittagong Kings,137/2,Brendan Taylor,Chittagong Kings,field first,Chittagong,"MA Aziz Stadium, Chittagong",Chittagong, Feb 1 2013,8,0,8 wickets,Mahfuzur Rahman,Masudur Rahman
2012/13,Rangpur Riders,163/3,Duronto Rajshahi,168/3,Tamim Iqbal,Rangpur Riders,bat first,Rajshahi,"Shere Bangla National Stadium, Mirpur",Mirpur, Feb 4 2013,7,0,7 wickets,Enamul Haque,Richard Illingworth
2012/13,Khulna Royal Bengals,145/7,Barisal Burners,148/3,Azhar Mahmood,Barisal Burners,field first,Barisal,"Shere Bangla National Stadium, Mirpur",Mirpur, Feb 4 2013,7,0,7 wickets,Gazi Sohel,Jeremy Lloyds
2012/13,Sylhet Royals,147/8,Duronto Rajshahi,152/5,Jahurul Islam,Duronto Rajshahi,field first,Rajshahi,"Shere Bangla National Stadium, Mirpur",Mirpur, Feb 5 2013,5,0,5 wickets,Enamul Haque,Masudur Rahman
2012/13,Dhaka Gladiators,217/4,Rangpur Riders,129,Anamul Haque,Rangpur Riders,field first,Dhaka,"Shere Bangla National Stadium, Mirpur",Mirpur, Feb 5 2013,0,88,88 runs,Enamul Haque,Tanvir Ahmed
2012/13,Chittagong Kings,156/5,Khulna Royal Bengals,67,Ryan ten Doeschate,Khulna Royal Bengals,field first,Chittagong,"Shere Bangla National Stadium, Mirpur",Mirpur, Feb 7 2013,0,89,89 runs,Jeremy Lloyds,Masudur Rahman
2012/13,Chittagong Kings,193/4,Sylhet Royals,74,Brendan Taylor,Sylhet Royals,field first,Chittagong,"Shere Bangla National Stadium, Mirpur",Mirpur, Feb 8 2013,0,119,119 runs,Gazi Sohel,Richard Illingworth
2012/13,Rangpur Riders,197/4,Sylhet Royals,198/4,Shamsur Rahman,Sylhet Royals,field first,Royals,"Shere Bangla National Stadium, Mirpur",Mirpur, Feb 7 2013,6,0,6 wickets,Enamul Haque,Richard Illingworth
