season,team_1,team_1_score,team_2,team_2_score,player_of_match,toss_winner,toss_decision,winner,venue,city,date,win_by_wickets,win_by_runs,result,umpire_1,umpire_2
2012/13,Khulna Royal Bengals,176/6,Dhaka Gladiators,180/4,Mohammad Ashraful,Khulna Royal Bengals,bat first,Dhaka,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 11 2013,6,0,6 wickets,Gazi Sohel,Jeremy Lloyds
2012/13,Sylhet Royals,196/3,Khulna Royal Bengals,135/7,Paul Stirling,Khulna Royal Bengals,field first,Royals,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 12 2013,0,61,61 runs,Jeremy Lloyds,Tanvir Ahmed
2012/13,Rangpur Riders,179/8,Duronto Rajshahi,160,Kevin O'Brien,Duronto Rajshahi,field first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 11 2013,0,19,19 runs,Enamul Haque,Jeremy Lloyds
2012/13,Barisal Burners,114/9,Dhaka Gladiators,115/2,Shakib Al Hasan,Barisal Burners,bat first,Dhaka,"Shere Bangla National Stadium, Mirpur",Mirpur, Feb 9 2013,8,0,8 wickets,Jeremy Lloyds,Masudur Rahman
2012/13,Duronto Rajshahi,138/9,Khulna Royal Bengals,140/3,Shahriar Nafees,Duronto Rajshahi,bat first,Khulna,"Shere Bangla National Stadium, Mirpur",Mirpur, Feb 8 2013,7,0,7 wickets,Enamul Haque,Jeremy Lloyds
2012/13,Dhaka Gladiators,114,Barisal Burners,117/3,Brad Hodge,Dhaka Gladiators,bat first,Barisal,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 12 2013,7,0,7 wickets,Enamul Haque,Richard Illingworth
2012/13,Chittagong Kings,160/6,Rangpur Riders,161/5,Danza Hyatt,Rangpur Riders,field first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur, Feb 9 2013,5,0,5 wickets,Enamul Haque,Richard Illingworth
2012/13,Chittagong Kings,193/3,Duronto Rajshahi,160/6,Jason Roy,Duronto Rajshahi,field first,Chittagong,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 13 2013,0,33,33 runs,Gazi Sohel,Richard Illingworth
2012/13,Dhaka Gladiators,197/9,Sylhet Royals,193/6,Chris Gayle,Sylhet Royals,field first,Dhaka,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 15 2013,0,4,4 runs,Enamul Haque,Jeremy Lloyds
2012/13,Barisal Burners,144/9,Sylhet Royals,145/9,Paul Stirling,Sylhet Royals,field first,Royals,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 13 2013,0,0,1 wicket,Enamul Haque,Jeremy Lloyds
2012/13,Dhaka Gladiators,168/6,Chittagong Kings,139/9,Shakib Al Hasan,Chittagong Kings,field first,Dhaka,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 14 2013,0,29,29 runs,Anisur Rahman,Jeremy Lloyds
2012/13,Barisal Burners,139/7,Rangpur Riders,113,Hamid Hassan,Barisal Burners,bat first,Barisal,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 14 2013,0,26,26 runs,Enamul Haque,Jeremy Lloyds
2012/13,Duronto Rajshahi,107/7,Chittagong Kings,108/6,Taskin Ahmed,Duronto Rajshahi,bat first,Chittagong,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 16 2013,4,0,4 wickets,Anisur Rahman,Richard Illingworth
2012/13,Sylhet Royals,149/7,Chittagong Kings,150/7,Ryan ten Doeschate,Chittagong Kings,field first,Chittagong,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 18 2013,3,0,3 wickets,Enamul Haque,Jeremy Lloyds
