season,team_1,team_1_score,team_2,team_2_score,player_of_match,toss_winner,toss_decision,winner,venue,city,date,win_by_wickets,win_by_runs,result,umpire_1,umpire_2
2017/18,Chittagong Vikings,166/4,Rangpur Riders,155/8,Taskin Ahmed,Rangpur Riders,field first,Vikings,Sylhet International Cricket Stadium,Stadium, Nov 8 2017,0,11,11 runs,Riazuddin,Sharfuddoula
2017/18,Khulna Titans,156/5,Dhaka Dynamites,157/6,Jahurul Islam,Dhaka Dynamites,field first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 14 2017,4,0,4 wickets,Mahfuzur Rahman,Ranmore Martinesz
2017/18,Chittagong Vikings,139/4,Comilla Victorians,140/4,Imrul Kayes,Comilla Victorians,field first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 14 2017,6,0,6 wickets,Riazuddin,Sharfuddoula
2017/18,Khulna Titans,170/7,Chittagong Vikings,152/7,Abu Jayed,Chittagong Vikings,field first,Titans,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 12 2017,0,18,18 runs,Mahfuzur Rahman,Ranmore Martinesz
2017/18,Rajshahi Kings,115/7,Comilla Victorians,120/1,Rashid Khan,Comilla Victorians,field first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 12 2017,9,0,9 wickets,Masudur Rahman,Riazuddin
2017/18,Sylhet Sixers,146/6,Rajshahi Kings,150/3,Zakir Hasan,Rajshahi Kings,field first,Kings,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 17 2017,7,0,7 wickets,Mahfuzur Rahman,Ranmore Martinesz
2017/18,Chittagong Vikings,160/5,Khulna Titans,164/5,Rilee Rossouw,Khulna Titans,field first,Titans,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 17 2017,5,0,5 wickets,Nadir Shah,Riazuddin
2017/18,Dhaka Dynamites,201/7,Rajshahi Kings,133,Evin Lewis,Rajshahi Kings,field first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 18 2017,0,68,68 runs,Nadir Shah,Riazuddin
2017/18,Comilla Victorians,153/6,Rangpur Riders,139/7,Mahedi Hasan,Rangpur Riders,field first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 18 2017,0,14,14 runs,Mahfuzur Rahman,Ranmore Martinesz
2017/18,Rajshahi Kings,166/8,Khulna Titans,168/8,Ariful Haque,Khulna Titans,field first,Titans,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 21 2017,2,0,2 wickets,Nadir Shah,Sharfuddoula
2017/18,Dhaka Dynamites,128,Comilla Victorians,129/6,Hasan Ali,Dhaka Dynamites,bat first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 20 2017,4,0,4 wickets,Masudur Rahman,Ranmore Martinesz
2017/18,Rangpur Riders,169/7,Sylhet Sixers,162/4,Chris Gayle,Sylhet Sixers,field first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 20 2017,0,7,7 runs,Anisur Rahman,Riazuddin
2017/18,Rangpur Riders,142,Dhaka Dynamites,139,Chris Gayle,Dhaka Dynamites,field first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 21 2017,0,3,3 runs,Anisur Rahman,Riazuddin
2017/18,Khulna Titans,158/8,Rangpur Riders,149/6,Mahmudullah,Rangpur Riders,field first,Titans,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 24 2017,0,9,9 runs,Morshed Ali Khan,Riazuddin
2017/18,Chittagong Vikings,211/5,Sylhet Sixers,171/8,Sikandar Raza,Sylhet Sixers,field first,Vikings,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 24 2017,0,40,40 runs,Anisur Rahman,Tanvir Ahmed
2017/18,Rajshahi Kings,185/7,Comilla Victorians,155,Daren Sammy,Rajshahi Kings,bat first,Kings,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 25 2017,0,30,30 runs,Anisur Rahman,Morshed Ali Khan
2017/18,Chittagong Vikings,176/7,Rangpur Riders,180/7,Mashrafe Mortaza,Rangpur Riders,field first,Riders,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 25 2017,3,0,3 wickets,Riazuddin,Tanvir Ahmed
2017/18,Khulna Titans,213/5,Rajshahi Kings,145,Nicholas Pooran,Rajshahi Kings,field first,Titans,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 27 2017,0,68,68 runs,Gazi Sohel,Mahfuzur Rahman
2017/18,Chittagong Vikings,187/5,Dhaka Dynamites,191/3,Evin Lewis,Chittagong Vikings,bat first,Dynamites,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 27 2017,7,0,7 wickets,Nadir Shah,Riazuddin
2017/18,Sylhet Sixers,173/5,Rangpur Riders,177/6,Nazmul Islam,Rangpur Riders,field first,Riders,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 28 2017,4,0,4 wickets,Mahfuzur Rahman,Ranmore Martinesz
2017/18,Khulna Titans,111,Comilla Victorians,112/1,Shoaib Malik,Khulna Titans,bat first,Victorians,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 28 2017,9,0,9 wickets,Nadir Shah,Riazuddin
2017/18,Rajshahi Kings,157/6,Chittagong Vikings,124,Daren Sammy,Rajshahi Kings,bat first,Kings,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 29 2017,0,33,33 runs,Nayeem Hasan,Qazi Onik
2017/18,Dhaka Dynamites,205/5,Rajshahi Kings,106,Sunil Narine,Dhaka Dynamites,bat first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 2 2017,0,99,99 runs,Masudur Rahman,Riazuddin
2017/18,Khulna Titans,174/6,Comilla Victorians,160/7,Ariful Haque,Khulna Titans,bat first,Titans,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 5 2017,0,14,14 runs,Morshed Ali Khan,Riazuddin
2017/18,Comilla Victorians,167/6,Dhaka Dynamites,155/8,Dwayne Bravo,Dhaka Dynamites,field first,Victorians,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 29 2017,0,12,12 runs,Nadir Shah,Riazuddin
2017/18,Rangpur Riders,97,Comilla Victorians,100/6,Mahedi Hasan,Comilla Victorians,field first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 2 2017,4,0,4 wickets,Nadir Shah,Ranmore Martinesz
2017/18,Chittagong Vikings,67,Sylhet Sixers,68/0,Nasir Hossain,Sylhet Sixers,field first,Sixers,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 3 2017,10,0,10 wickets,Nadir Shah,Tanvir Ahmed
2017/18,Rangpur Riders,147/6,Khulna Titans,128/8,Mohammad Mithun,Khulna Titans,field first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 3 2017,0,19,19 runs,Masudur Rahman,Riazuddin
2017/18,Chittagong Vikings,194/2,Rajshahi Kings,149/9,Luis Reece,Rajshahi Kings,field first,Vikings,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 5 2017,0,45,45 runs,Mahfuzur Rahman,Shafiuddin Ahmed
2017/18,Comilla Victorians,170/4,Sylhet Sixers,145/7,Litton Das,Sylhet Sixers,field first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 6 2017,0,25,25 runs,Akteruzzaman,Moniruzzaman
2017/18,Khulna Titans,167/6,Rangpur Riders,171/2,Chris Gayle,Rangpur Riders,field first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 8 2017,8,0,8 wickets,Anisur Rahman,Masudur Rahman
2017/18,Dhaka Dynamites,137/7,Rangpur Riders,94/7,Shakib Al Hasan,Dhaka Dynamites,bat first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 6 2017,0,43,43 runs,Nadir Shah,Riazuddin
2017/18,Rangpur Riders,192/3,Comilla Victorians,156,Johnson Charles,Comilla Victorians,field first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur,0 - 11 2017,0,36,36 runs,Gazi Sohel,Raveendra Wimalasiri
2017/18,Dhaka Dynamites,191/7,Comilla Victorians,96,Shahid Afridi,Dhaka Dynamites,bat first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 8 2017,0,95,95 runs,Mahfuzur Rahman,Masudur Rahman
