season,team_1,team_1_score,team_2,team_2_score,player_of_match,toss_winner,toss_decision,winner,venue,city,date,win_by_wickets,win_by_runs,result,umpire_1,umpire_2
2017/18,Rangpur Riders,206/1,Dhaka Dynamites,149/9,Chris Gayle,Dhaka Dynamites,field first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur,Dec 12 2017,0,57,57 runs,Mahfuzur Rahman,Riazuddin
2017/18,Sylhet Sixers,135/5,Khulna Titans,138/4,Mahmudullah,Khulna Titans,field first,Titans,Sylhet International Cricket Stadium,Stadium, Nov 8 2017,6,0,6 wickets,Anisur Rahman,Masudur Rahman
2017/18,Comilla Victorians,145/6,Sylhet Sixers,148/6,Upul Tharanga,Sylhet Sixers,field first,Sixers,Sylhet International Cricket Stadium,Stadium, Nov 5 2017,4,0,4 wickets,Mahfuzur Rahman,Masudur Rahman
2017/18,Rajshahi Kings,154/8,Rangpur Riders,155/4,Ravi Bopara,Rangpur Riders,field first,Riders,Sylhet International Cricket Stadium,Stadium, Nov 4 2017,6,0,6 wickets,Mahfuzur Rahman,Tanvir Ahmed
2017/18,Chittagong Vikings,143/7,Comilla Victorians,144/2,Mohammad Saifuddin,Comilla Victorians,field first,Victorians,Sylhet International Cricket Stadium,Stadium, Nov 7 2017,8,0,8 wickets,Masudur Rahman,Sharfuddoula
2017/18,Sylhet Sixers,205/6,Rajshahi Kings,172/8,Danushka Gunathilaka,Rajshahi Kings,field first,Sixers,Sylhet International Cricket Stadium,Stadium, Nov 7 2017,0,33,33 runs,Anisur Rahman,Riazuddin
2017/18,Dhaka Dynamites,202/7,Khulna Titans,137,Cameron Delport,Khulna Titans,field first,Dynamites,Sylhet International Cricket Stadium,Stadium, Nov 5 2017,0,65,65 runs,Akteruzzaman,Riazuddin
2017/18,Rangpur Riders,134/5,Rajshahi Kings,138/2,Mominul Haque,Rangpur Riders,bat first,Kings,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 11 2017,8,0,8 wickets,Anisur Rahman,Riazuddin
2017/18,Dhaka Dynamites,136/7,Sylhet Sixers,137/1,Upul Tharanga,Sylhet Sixers,field first,Sixers,Sylhet International Cricket Stadium,Stadium, Nov 4 2017,9,0,9 wickets,Masudur Rahman,Riazuddin
2017/18,Sylhet Sixers,101/9,Dhaka Dynamites,106/2,Shahid Afridi,Dhaka Dynamites,field first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 11 2017,8,0,8 wickets,Nadir Shah,Ranmore Martinesz
