season,team_1,team_1_score,team_2,team_2_score,player_of_match,toss_winner,toss_decision,winner,venue,city,date,win_by_wickets,win_by_runs,result,umpire_1,umpire_2
2011/12,Barisal Burners,140/7,Dhaka Gladiators,144/2,Imran Nazir,Dhaka Gladiators,field first,Dhaka,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 29 2012,8,0,8 wickets,David Orchard,Enamul Haque
2011/12,Chittagong Kings,153/6,Dhaka Gladiators,156/4,Kieron Pollard,Chittagong Kings,bat first,Dhaka,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 13 2012,6,0,6 wickets,David Orchard,Sharfuddoula
2011/12,Sylhet Royals,124,Dhaka Gladiators,126/3,Anamul Haque,Sylhet Royals,bat first,Dhaka,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 12 2012,7,0,7 wickets,Jeremy Lloyds,Sharfuddoula
2011/12,Barisal Burners,180/2,Duronto Rajshahi,158/9,Ahmed Shehzad,Barisal Burners,bat first,Barisal,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 11 2012,0,22,22 runs,David Orchard,Gazi Sohel
2011/12,Chittagong Kings,206/4,Duronto Rajshahi,153,Dwayne Bravo,Chittagong Kings,bat first,Chittagong,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 10 2012,0,53,53 runs,Jeremy Lloyds,Sharfuddoula
2011/12,Barisal Burners,125,Khulna Royal Bengals,131/3,Dwayne Smith,Khulna Royal Bengals,field first,Khulna,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 13 2012,7,0,7 wickets,Enamul Haque,Jeremy Lloyds
2011/12,Sylhet Royals,165/4,Barisal Burners,167/0,Chris Gayle,Barisal Burners,field first,Barisal,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 10 2012,10,0,10 wickets,Anisur Rahman,David Orchard
2011/12,Khulna Royal Bengals,171/3,Chittagong Kings,174/4,Nasir Jamshed,Khulna Royal Bengals,bat first,Chittagong,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 12 2012,6,0,6 wickets,David Orchard,Enamul Haque
2011/12,Khulna Royal Bengals,175/5,Dhaka Gladiators,156/7,Andre Russell,Khulna Royal Bengals,bat first,Khulna,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 11 2012,0,19,19 runs,Jeremy Lloyds,Sharfuddoula
2011/12,Duronto Rajshahi,171/8,Sylhet Royals,155/4,Marlon Samuels,Duronto Rajshahi,bat first,Rajshahi,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 14 2012,0,16,16 runs,David Orchard,Enamul Haque
2011/12,Khulna Royal Bengals,171/6,Sylhet Royals,169/8,Andre Russell,Sylhet Royals,field first,Khulna,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Feb 18 2012,0,2,2 runs,Enamul Haque,Jeremy Lloyds
2011/12,Duronto Rajshahi,126/6,Chittagong Kings,117/9,Saqlain Sajib,Duronto Rajshahi,bat first,Rajshahi,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Feb 18 2012,0,9,9 runs,David Orchard,Sharfuddoula
2011/12,Dhaka Gladiators,140/8,Khulna Royal Bengals,141/3,Shivnarine Chanderpaul,Dhaka Gladiators,bat first,Khulna,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Feb 19 2012,7,0,7 wickets,David Orchard,Sharfuddoula
2011/12,Sylhet Royals,152/4,Chittagong Kings,154/3,Mahmudullah,Sylhet Royals,bat first,Chittagong,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 15 2012,7,0,7 wickets,Enamul Haque,Jeremy Lloyds
2011/12,Dhaka Gladiators,208/5,Barisal Burners,187/5,Azhar Mahmood,Barisal Burners,field first,Dhaka,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 14 2012,0,21,21 runs,Jeremy Lloyds,Sharfuddoula
