season,team_1,team_1_score,team_2,team_2_score,player_of_match,toss_winner,toss_decision,winner,venue,city,date,win_by_wickets,win_by_runs,result,umpire_1,umpire_2
2011/12,Khulna Royal Bengals,145/7,Duronto Rajshahi,146/4,Mushfiqur Rahim,Khulna Royal Bengals,bat first,Rajshahi,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 15 2012,6,0,6 wickets,David Orchard,Masudur Rahman
2011/12,Barisal Burners,125/6,Chittagong Kings,126/2,Nasir Jamshed,Chittagong Kings,field first,Chittagong,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 16 2012,8,0,8 wickets,David Orchard,Enamul Haque
2011/12,Duronto Rajshahi,144/9,Dhaka Gladiators,130/7,Marlon Samuels,Dhaka Gladiators,field first,Rajshahi,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 16 2012,0,14,14 runs,Jeremy Lloyds,Sharfuddoula
2011/12,Sylhet Royals,120/7,Barisal Burners,121/1,Brad Hodge,Sylhet Royals,bat first,Barisal,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Feb 19 2012,9,0,9 wickets,Enamul Haque,Jeremy Lloyds
2011/12,Barisal Burners,192/3,Duronto Rajshahi,193/1,Junaid Siddique,Barisal Burners,bat first,Rajshahi,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Feb 20 2012,9,0,9 wickets,Enamul Haque,Jeremy Lloyds
2011/12,Khulna Royal Bengals,161/7,Barisal Burners,162/6,Mominul Haque,Khulna Royal Bengals,bat first,Barisal,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Feb 22 2012,4,0,4 wickets,Enamul Haque,Jeremy Lloyds
2011/12,Sylhet Royals,128/7,Dhaka Gladiators,132/2,Azhar Mahmood,Dhaka Gladiators,field first,Dhaka,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Feb 22 2012,8,0,8 wickets,David Orchard,Sharfuddoula
2011/12,Chittagong Kings,120/6,Dhaka Gladiators,107/9,Dwayne Bravo,Dhaka Gladiators,field first,Chittagong,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 24 2012,0,13,13 runs,David Orchard,Nadir Shah
2011/12,Duronto Rajshahi,124/9,Sylhet Royals,125/1,Sohail Tanvir,Sylhet Royals,field first,Royals,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 24 2012,9,0,9 wickets,Anisur Rahman,Jeremy Lloyds
2011/12,Khulna Royal Bengals,137/6,Chittagong Kings,93,Nasir Hossain,Chittagong Kings,field first,Khulna,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Feb 20 2012,0,44,44 runs,David Orchard,Sharfuddoula
2011/12,Barisal Burners,156/6,Dhaka Gladiators,160/5,Imran Nazir,Dhaka Gladiators,field first,Dhaka,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 25 2012,5,0,5 wickets,Jeremy Lloyds,Nadir Shah
2011/12,Sylhet Royals,165/3,Chittagong Kings,130/8,Peter Trego,Chittagong Kings,field first,Royals,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 25 2012,0,35,35 runs,David Orchard,Masudur Rahman
2011/12,Khulna Royal Bengals,106,Duronto Rajshahi,110/2,Sean Ervine,Khulna Royal Bengals,bat first,Rajshahi,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 26 2012,8,0,8 wickets,David Orchard,Nadir Shah
2011/12,Chittagong Kings,150/9,Barisal Burners,151/5,Brad Hodge,Barisal Burners,field first,Barisal,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 26 2012,5,0,5 wickets,Gazi Sohel,Jeremy Lloyds
2011/12,Dhaka Gladiators,116,Duronto Rajshahi,120/7,Mohammad Sami,Dhaka Gladiators,bat first,Rajshahi,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 27 2012,3,0,3 wickets,Mahfuzur Rahman,Nadir Shah
2011/12,Duronto Rajshahi,184/6,Barisal Burners,189/2,Ahmed Shehzad,Barisal Burners,field first,Barisal,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 28 2012,8,0,8 wickets,David Orchard,Sharfuddoula
2011/12,Dhaka Gladiators,191/4,Khulna Royal Bengals,182/7,Azhar Mahmood,Dhaka Gladiators,bat first,Dhaka,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 28 2012,0,9,9 runs,Enamul Haque,Nadir Shah
