season,team_1,team_1_score,team_2,team_2_score,player_of_match,toss_winner,toss_decision,winner,venue,city,date,win_by_wickets,win_by_runs,result,umpire_1,umpire_2
2015/16,Barisal Bulls,156/4,Comilla Victorians,157/7,Alok Kapali,Comilla Victorians,field first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur,Dec 15 2015,3,0,3 wickets,Ahsan Raza,Ranmore Martinesz
2015/16,Chittagong Vikings,176/4,Comilla Victorians,177/3,Mashrafe Mortaza,Comilla Victorians,field first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 24 2015,7,0,7 wickets,Anisur Rahman,Ranmore Martinesz
2015/16,Barisal Bulls,155/9,Rangpur Riders,142,Kevon Cooper,Rangpur Riders,field first,Bulls,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 23 2015,0,13,13 runs,Enamul Haque,Masudur Rahman
2015/16,Chittagong Vikings,180/5,Sylhet Super Stars,179/6,Shafiul Islam,Sylhet Super Stars,field first,Vikings,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 23 2015,0,0,1 run,Masudur Rahman,Sharfuddoula
2015/16,Rangpur Riders,109/9,Sylhet Super Stars,103,Shakib Al Hasan,Rangpur Riders,bat first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 26 2015,0,6,6 runs,Sharfuddoula,Tanvir Ahmed
2015/16,Chittagong Vikings,92,Dhaka Dynamites,96/4,Shadman Islam,Chittagong Vikings,bat first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 26 2015,6,0,6 wickets,Ranmore Martinesz,Sharfuddoula
2015/16,Comilla Victorians,110/8,Dhaka Dynamites,112/4,Abul Hasan,Comilla Victorians,bat first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 22 2015,6,0,6 wickets,Enamul Haque,Ranmore Martinesz
2015/16,Chittagong Vikings,187/7,Rangpur Riders,188/8,Misbah-ul-Haq,Chittagong Vikings,bat first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 22 2015,2,0,2 wickets,Enamul Haque,Sharfuddoula
2015/16,Rangpur Riders,176/6,Dhaka Dynamites,107,Shakib Al Hasan,Rangpur Riders,bat first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 25 2015,0,69,69 runs,Enamul Haque,Mahfuzur Rahman
2015/16,Barisal Bulls,89,Comilla Victorians,90/2,Nuwan Kulasekara,Barisal Bulls,bat first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 25 2015,8,0,8 wickets,Masudur Rahman,Tanvir Ahmed
2015/16,Barisal Bulls,108,Sylhet Super Stars,107/9,Al-Amin Hossain,Barisal Bulls,bat first,Bulls,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 24 2015,0,0,1 run,Anisur Rahman,Masudur Rahman
2015/16,Rangpur Riders,82,Comilla Victorians,84/1,Marlon Samuels,Comilla Victorians,field first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 27 2015,9,0,9 wickets,Mahfuzur Rahman,Masudur Rahman
2015/16,Dhaka Dynamites,166/6,Sylhet Super Stars,132,Kumar Sangakkara,Dhaka Dynamites,bat first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 27 2015,0,34,34 runs,Mahfuzur Rahman,Tanvir Ahmed
2015/16,Barisal Bulls,170/7,Chittagong Vikings,137,Kevon Cooper,Chittagong Vikings,field first,Bulls,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 30 2015,0,33,33 runs,Ranmore Martinesz,Sharfuddoula
2015/16,Comilla Victorians,164/5,Sylhet Super Stars,168/6,Ravi Bopara,Sylhet Super Stars,field first,Super,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 30 2015,0,0,by 4,Enamul Haque,Sharfuddoula
2015/16,Chittagong Vikings,111/8,Rangpur Riders,113/1,Soumya Sarkar,Chittagong Vikings,bat first,Riders,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong, Dec 1 2015,9,0,9 wickets,Enamul Haque,Sharfuddoula
2015/16,Comilla Victorians,141/7,Dhaka Dynamites,131/6,Ashar Zaidi,Dhaka Dynamites,field first,Victorians,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong, Dec 2 2015,0,10,10 runs,Mahfuzur Rahman,Tanvir Ahmed
2015/16,Dhaka Dynamites,158/5,Barisal Bulls,159/1,Evin Lewis,Barisal Bulls,field first,Bulls,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong, Dec 1 2015,9,0,9 wickets,Enamul Haque,Ranmore Martinesz
2015/16,Sylhet Super Stars,139/9,Chittagong Vikings,140/0,Tillakaratne Dilshan,Chittagong Vikings,field first,Vikings,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong, Dec 2 2015,10,0,10 wickets,Anisur Rahman,Morshed Ali Khan
2015/16,Chittagong Vikings,136/5,Comilla Victorians,142/5,Shoaib Malik,Comilla Victorians,field first,Victorians,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong, Dec 3 2015,5,0,5 wickets,Mahfuzur Rahman,Morshed Ali Khan
2015/16,Rangpur Riders,104/9,Barisal Bulls,75/4,Al-Amin Hossain,Barisal Bulls,field first,Bulls,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong, Dec 3 2015,6,0,6 wickets,Anisur Rahman,Ranmore Martinesz
2015/16,Barisal Bulls,58,Sylhet Super Stars,62/1,Junaid Siddique,Sylhet Super Stars,field first,Super,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 6 2015,0,0,by 9,Gazi Sohel,Ranmore Martinesz
2015/16,Dhaka Dynamites,135/7,Rangpur Riders,136/4,Jahurul Islam,Dhaka Dynamites,bat first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 6 2015,6,0,6 wickets,Ahsan Raza,Enamul Haque
2015/16,Dhaka Dynamites,121/8,Chittagong Vikings,76,Mosharraf Hossain,Chittagong Vikings,field first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 8 2015,0,45,45 runs,Ahsan Raza,Masudur Rahman
2015/16,Sylhet Super Stars,59,Rangpur Riders,60/2,Arafat Sunny,Rangpur Riders,field first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 7 2015,8,0,8 wickets,Anisur Rahman,Gazi Sohel
2015/16,Barisal Bulls,105/6,Comilla Victorians,106/3,Ahmed Shehzad,Comilla Victorians,field first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 7 2015,7,0,7 wickets,Ahsan Raza,Masudur Rahman
2015/16,Rangpur Riders,153/6,Comilla Victorians,132,Jahurul Islam,Comilla Victorians,field first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 8 2015,0,21,21 runs,Gazi Sohel,Ranmore Martinesz
2015/16,Dhaka Dynamites,157/5,Sylhet Super Stars,162/4,Ravi Bopara,Sylhet Super Stars,field first,Super,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 9 2015,0,0,by 6,Mahfuzur Rahman,Masudur Rahman
2015/16,Chittagong Vikings,135/7,Barisal Bulls,141/2,Chris Gayle,Barisal Bulls,field first,Bulls,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 9 2015,8,0,8 wickets,Ahsan Raza,Gazi Sohel
2015/16,Comilla Victorians,150/4,Sylhet Super Stars,79,Ahmed Shehzad,Sylhet Super Stars,field first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur,Dec 10 2015,0,71,71 runs,Ahsan Raza,Enamul Haque
2015/16,Barisal Bulls,135/5,Dhaka Dynamites,117/8,Al-Amin Hossain,Dhaka Dynamites,field first,Bulls,"Shere Bangla National Stadium, Mirpur",Mirpur,Dec 12 2015,0,18,18 runs,Ahsan Raza,Gazi Sohel
2015/16,Rangpur Riders,160/9,Barisal Bulls,163/5,Sabbir Rahman,Rangpur Riders,bat first,Bulls,"Shere Bangla National Stadium, Mirpur",Mirpur,Dec 13 2015,5,0,5 wickets,Enamul Haque,Ranmore Martinesz
2015/16,Comilla Victorians,163/7,Rangpur Riders,91,Ashar Zaidi,Rangpur Riders,field first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur,Dec 12 2015,0,72,72 runs,Enamul Haque,Ranmore Martinesz
