season,team_1,team_1_score,team_2,team_2_score,player_of_match,toss_winner,toss_decision,winner,venue,city,date,win_by_wickets,win_by_runs,result,umpire_1,umpire_2
2019/20,Rajshahi Royals,170/4,Khulna Tigers,149/8,Andre Russell,Khulna Tigers,field first,Royals,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 17 2020,0,21,21 runs,David Millns,Gazi Sohel
2019/20,Sylhet Thunder,91,Rajshahi Royals,95/2,Alok Kapali,Rajshahi Royals,field first,Royals,"Shere Bangla National Stadium, Mirpur",Mirpur,Dec 13 2019,8,0,8 wickets,Mahfuzur Rahman,Sharfuddoula
2019/20,Dhaka Platoon,180/7,Cumilla Warriors,160/9,Thisara Perera,Cumilla Warriors,field first,Platoon,"Shere Bangla National Stadium, Mirpur",Mirpur,Dec 13 2019,0,20,20 runs,Masudur Rahman,Prageeth Rambukwella
2019/20,Sylhet Thunder,162/4,Chattogram Challengers,163/5,Imrul Kayes,Chattogram Challengers,field first,Challengers,"Shere Bangla National Stadium, Mirpur",Mirpur,Dec 11 2019,5,0,5 wickets,Prageeth Rambukwella,Sharfuddoula
2019/20,Dhaka Platoon,182/4,Sylhet Thunder,158/7,Anamul Haque,Sylhet Thunder,field first,Platoon,"Shere Bangla National Stadium, Mirpur",Mirpur,Dec 14 2019,0,24,24 runs,Masudur Rahman,Prageeth Rambukwella
2019/20,Cumilla Warriors,173/7,Rangpur Rangers,68,Dasun Shanaka,Cumilla Warriors,bat first,Warriors,"Shere Bangla National Stadium, Mirpur",Mirpur,Dec 11 2019,0,105,105 runs,Masudur Rahman,Tanvir Ahmed
2019/20,Dhaka Platoon,134/9,Rajshahi Royals,136/1,Ravi Bopara,Rajshahi Royals,field first,Royals,"Shere Bangla National Stadium, Mirpur",Mirpur,Dec 12 2019,9,0,9 wickets,Gazi Sohel,Sharfuddoula
2019/20,Rangpur Rangers,157/8,Chattogram Challengers,158/4,Mohammad Naim,Chattogram Challengers,field first,Challengers,"Shere Bangla National Stadium, Mirpur",Mirpur,Dec 14 2019,6,0,6 wickets,Morshed Ali Khan,Sharfuddoula
2019/20,Rajshahi Royals,189/4,Khulna Tigers,192/5,Mushfiqur Rahim,Khulna Tigers,field first,Tigers,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Dec 17 2019,5,0,5 wickets,Prageeth Rambukwella,Sharfuddoula
2019/20,Chattogram Challengers,144/6,Khulna Tigers,146/2,Rilee Rossouw,Khulna Tigers,field first,Tigers,"Shere Bangla National Stadium, Mirpur",Mirpur,Dec 12 2019,8,0,8 wickets,Masudur Rahman,Prageeth Rambukwella
2019/20,Rangpur Rangers,137/9,Khulna Tigers,138/2,Shafiul Islam,Khulna Tigers,field first,Tigers,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Dec 20 2019,8,0,8 wickets,Prageeth Rambukwella,Tanvir Ahmed
2019/20,Chattogram Challengers,221/4,Dhaka Platoon,205,Mehedi Hasan Rana,Dhaka Platoon,field first,Challengers,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Dec 18 2019,0,16,16 runs,Prageeth Rambukwella,Sharfuddoula
