season,team_1,team_1_score,team_2,team_2_score,player_of_match,toss_winner,toss_decision,winner,venue,city,date,win_by_wickets,win_by_runs,result,umpire_1,umpire_2
2019/20,Sylhet Thunder,129/8,Chattogram Challengers,130/6,Mehedi Hasan Rana,Chattogram Challengers,field first,Challengers,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Dec 17 2019,4,0,4 wickets,David Millns,Masudur Rahman
2019/20,Sylhet Thunder,232/5,Khulna Tigers,152,Andre Fletcher,Khulna Tigers,field first,Thunder,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Dec 21 2019,0,80,80 runs,Mahfuzur Rahman,Prageeth Rambukwella
2019/20,Chattogram Challengers,163/7,Rangpur Rangers,167/4,Lewis Gregory,Rangpur Rangers,field first,Rangers,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Dec 21 2019,6,0,6 wickets,David Millns,Masudur Rahman
2019/20,Sylhet Thunder,174/4,Dhaka Platoon,175/2,Mahedi Hasan,Sylhet Thunder,bat first,Platoon,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Dec 24 2019,8,0,8 wickets,David Millns,Gazi Sohel
2019/20,Chattogram Challengers,238/4,Cumilla Warriors,222/7,Chadwick Walton,Cumilla Warriors,field first,Challengers,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Dec 20 2019,0,16,16 runs,D Milns,Masudur Rahman
2019/20,Rangpur Rangers,181/8,Cumilla Warriors,182/4,Dawid Malan,Rangpur Rangers,bat first,Warriors,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Dec 18 2019,6,0,6 wickets,David Millns,Mahfuzur Rahman
2019/20,Cumilla Warriors,160/3,Dhaka Platoon,161/5,Mahedi Hasan,Dhaka Platoon,field first,Platoon,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Dec 23 2019,5,0,5 wickets,Gazi Sohel,Prageeth Rambukwella
2019/20,Khulna Tigers,145/9,Rajshahi Royals,149/3,Andre Russell,Rajshahi Royals,field first,Royals,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Dec 23 2019,7,0,7 wickets,David Millns,Morshed Ali Khan
2019/20,Cumilla Warriors,170/8,Rajshahi Royals,171/3,Dawid Malan,Rajshahi Royals,field first,Royals,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Dec 24 2019,7,0,7 wickets,Dawid Malan,Afif Hossain
2019/20,Dhaka Platoon,124/9,Chattogram Challengers,125/4,Imrul Kayes,Chattogram Challengers,field first,Challengers,"Shere Bangla National Stadium, Mirpur",Mirpur,Dec 27 2019,6,0,6 wickets,David Millns,Sharfuddoula
2019/20,Rajshahi Royals,190/4,Cumilla Warriors,175/4,Shoaib Malik,Cumilla Warriors,field first,Royals,"Shere Bangla National Stadium, Mirpur",Mirpur,Dec 28 2019,0,15,15 runs,David Millns,Morshed Ali Khan
2019/20,Sylhet Thunder,157/4,Khulna Tigers,158/2,Mehidy Hasan Miraz,Khulna Tigers,field first,Tigers,"Shere Bangla National Stadium, Mirpur",Mirpur,Dec 28 2019,8,0,8 wickets,Mahfuzur Rahman,Prageeth Rambukwella
2019/20,Khulna Tigers,182/7,Rangpur Rangers,130/9,Shohidul Islam,Rangpur Rangers,field first,Tigers,"Shere Bangla National Stadium, Mirpur",Mirpur,Dec 27 2019,0,52,52 runs,Mahfuzur Rahman,Prageeth Rambukwella
2019/20,Sylhet Thunder,133/9,Rangpur Rangers,134/3,Mustafizur Rahman,Rangpur Rangers,field first,Rangers,"Shere Bangla National Stadium, Mirpur",Mirpur,Dec 30 2019,7,0,7 wickets,Moniruzzaman,Prageeth Rambukwella
2019/20,Chattogram Challengers,159/6,Cumilla Warriors,161/8,Dawid Malan,Cumilla Warriors,field first,Warriors,"Shere Bangla National Stadium, Mirpur",Mirpur,Dec 31 2019,2,0,2 wickets,Masudur Rahman,Prageeth Rambukwella
2019/20,Dhaka Platoon,174/5,Rajshahi Royals,100,Wahab Riaz,Rajshahi Royals,field first,Platoon,"Shere Bangla National Stadium, Mirpur",Mirpur,Dec 30 2019,0,74,74 runs,D Milns,Tanvir Ahmed
2019/20,Rangpur Rangers,182/6,Rajshahi Royals,135/8,Lewis Gregory,Rajshahi Royals,field first,Rangers,"Shere Bangla National Stadium, Mirpur",Mirpur,Dec 31 2019,0,47,47 runs,David Millns,Tanvir Ahmed
2019/20,Dhaka Platoon,172/4,Khulna Tigers,160/8,Hasan Mahmud,Khulna Tigers,field first,Platoon,Sylhet International Cricket Stadium,Stadium, Jan 3 2020,0,12,12 runs,Prageeth Rambukwella,Tanvir Ahmed
2019/20,Cumilla Warriors,140/9,Sylhet Thunder,140,Mujeeb Ur Rahman,Sylhet Thunder,field first,Match,Sylhet International Cricket Stadium,Stadium, Jan 2 2020,0,0,won the,Masudur Rahman,Prageeth Rambukwella
2019/20,Rangpur Rangers,199/5,Sylhet Thunder,161,Shane Watson,Sylhet Thunder,field first,Rangers,Sylhet International Cricket Stadium,Stadium, Jan 3 2020,0,38,38 runs,David Millns,Gazi Sohel
2019/20,Khulna Tigers,179/2,Cumilla Warriors,145,Robbie Frylinck,Cumilla Warriors,field first,Tigers,"Shere Bangla National Stadium, Mirpur",Mirpur, Jan 8 2020,0,34,34 runs,David Millns,Gazi Sohel
2019/20,Khulna Tigers,121,Chattogram Challengers,124/4,Mehedi Hasan Rana,Chattogram Challengers,field first,Challengers,Sylhet International Cricket Stadium,Stadium, Jan 4 2020,6,0,6 wickets,David Millns,Mahfuzur Rahman
2019/20,Rajshahi Royals,166/8,Chattogram Challengers,170/3,Imrul Kayes,Chattogram Challengers,field first,Challengers,"Shere Bangla National Stadium, Mirpur",Mirpur, Jan 7 2020,7,0,7 wickets,David Millns,Morshed Ali Khan
2019/20,Sylhet Thunder,141/5,Cumilla Warriors,142/5,Dawid Malan,Cumilla Warriors,field first,Warriors,"Shere Bangla National Stadium, Mirpur",Mirpur, Jan 7 2020,5,0,5 wickets,Gazi Sohel,Prageeth Rambukwella
2019/20,Sylhet Thunder,143/6,Rajshahi Royals,145/4,Afif Hossain,Sylhet Thunder,bat first,Royals,Sylhet International Cricket Stadium,Stadium, Jan 4 2020,6,0,6 wickets,Prageeth Rambukwella,Tanvir Ahmed
2019/20,Rajshahi Royals,179/4,Rangpur Rangers,149/7,Ravi Bopara,Rangpur Rangers,field first,Royals,Sylhet International Cricket Stadium,Stadium, Jan 2 2020,0,30,30 runs,David Millns,Mahfuzur Rahman
2019/20,Dhaka Platoon,145/9,Rangpur Rangers,84,Shadab Khan,Rangpur Rangers,field first,Platoon,"Shere Bangla National Stadium, Mirpur",Mirpur, Jan 8 2020,0,61,61 runs,Mahfuzur Rahman,Prageeth Rambukwella
2019/20,Dhaka Platoon,205/4,Khulna Tigers,207/2,Najmul Hossain Shanto,Khulna Tigers,field first,Tigers,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 11 2020,8,0,8 wickets,David Millns,Mahfuzur Rahman
2019/20,Khulna Tigers,218/2,Cumilla Warriors,126/9,Mushfiqur Rahim,Cumilla Warriors,field first,Tigers,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 10 2020,0,92,92 runs,Gazi Sohel,Prageeth Rambukwella
2019/20,Rangpur Rangers,149/9,Dhaka Platoon,138/9,Lewis Gregory,Dhaka Platoon,field first,Rangers,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 10 2020,0,11,11 runs,David Millns,Tanvir Ahmed
2019/20,Chattogram Challengers,155/5,Rajshahi Royals,156/2,Litton Das,Rajshahi Royals,field first,Royals,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 11 2020,8,0,8 wickets,Prageeth Rambukwella,Tanvir Ahmed
2019/20,Khulna Tigers,158/3,Rajshahi Royals,131,Mohammad Amir,Rajshahi Royals,field first,Tigers,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 13 2020,0,27,27 runs,Gazi Sohel,Prageeth Rambukwella
2019/20,Dhaka Platoon,144/8,Chattogram Challengers,147/3,Rayad Emrit,Chattogram Challengers,field first,Challengers,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 13 2020,7,0,7 wickets,David Millns,Mahfuzur Rahman
2019/20,Chattogram Challengers,164/9,Rajshahi Royals,165/8,Andre Russell,Rajshahi Royals,field first,Royals,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 15 2020,2,0,2 wickets,David Millns,Mahfuzur Rahman
